id,kind,replacedBy,type,dataType,group,status,uiName,appUiName,description,calculation,minTemplateIndex,maxTemplateIndex,premiumMinTemplateIndex,premiumMaxTemplateIndex,allowedInSegments
ga:interestAffinityCategory,analytics#column,,DIMENSION,STRING,Audience,PUBLIC,Affinity Category (reach),,Indicates that users are more likely to be interested in learning about the specified category.,,,,,,true
ga:interestInMarketCategory,analytics#column,,DIMENSION,STRING,Audience,PUBLIC,In-Market Segment,,Indicates that users are more likely to be ready to purchase products or services in the specified category.,,,,,,true
ga:adsenseRevenue,analytics#column,,METRIC,CURRENCY,Adsense,PUBLIC,AdSense Revenue,,The total revenue from AdSense ads.,,,,,,true
ga:adsenseAdUnitsViewed,analytics#column,,METRIC,INTEGER,Adsense,PUBLIC,AdSense Ad Units Viewed,,The number of AdSense ad units viewed. An Ad unit is a set of ads displayed as a result of one piece of the AdSense ad code. Details: https://support.google.com/adsense/answer/32715?hl=en,,,,,,true
ga:adsenseAdsViewed,analytics#column,,METRIC,INTEGER,Adsense,PUBLIC,AdSense Ads Viewed,,The number of AdSense ads viewed. Multiple ads can be displayed within an Ad Unit.,,,,,,true
ga:adsenseAdsClicks,analytics#column,,METRIC,INTEGER,Adsense,PUBLIC,AdSense Ads Clicked,,The number of times AdSense ads on your site were clicked.,,,,,,true
ga:adsensePageImpressions,analytics#column,,METRIC,INTEGER,Adsense,PUBLIC,AdSense Page Impressions,,The number of pageviews during which an AdSense ad was displayed. A page impression can have multiple Ad Units.,,,,,,true
ga:adsenseCTR,analytics#column,,METRIC,PERCENT,Adsense,PUBLIC,AdSense CTR,,The percentage of page impressions that resulted in a click on an AdSense ad.,ga:adsenseAdsClicks/ga:adsensePageImpressions,,,,,
ga:adsenseECPM,analytics#column,,METRIC,CURRENCY,Adsense,PUBLIC,AdSense eCPM,,The estimated cost per thousand page impressions. It is your AdSense Revenue per 1000 page impressions.,ga:adsenseRevenue/(ga:adsensePageImpressions/1000),,,,,
ga:adsenseExits,analytics#column,,METRIC,INTEGER,Adsense,PUBLIC,AdSense Exits,,The number of sessions that ended due to a user clicking on an AdSense ad.,,,,,,true
ga:channelGrouping,analytics#column,,DIMENSION,STRING,Channel Grouping,PUBLIC,Default Channel Grouping,,The default channel grouping that is shared within the View (Profile).,,,,,,true
ga:checkoutOptions,analytics#column,,DIMENSION,STRING,Ecommerce,PUBLIC,Checkout Options,,"User options specified during the checkout process, e.g., FedEx, DHL, UPS for delivery options or Visa, MasterCard, AmEx for payment options. This dimension should be used along with ga:shoppingStage (Enhanced Ecommerce).",,,,,,true
ga:correlationModelId,analytics#column,,DIMENSION,STRING,Related Products,PUBLIC,Correlation Model ID,,Correlation Model ID for related products.,,,,,,
ga:internalPromotionCreative,analytics#column,,DIMENSION,STRING,Ecommerce,PUBLIC,Internal Promotion Creative,,The creative content designed for a promotion (Enhanced Ecommerce).,,,,,,true
ga:internalPromotionId,analytics#column,,DIMENSION,STRING,Ecommerce,PUBLIC,Internal Promotion ID,,The ID of the promotion (Enhanced Ecommerce).,,,,,,true
ga:internalPromotionName,analytics#column,,DIMENSION,STRING,Ecommerce,PUBLIC,Internal Promotion Name,,The name of the promotion (Enhanced Ecommerce).,,,,,,true
ga:internalPromotionPosition,analytics#column,,DIMENSION,STRING,Ecommerce,PUBLIC,Internal Promotion Position,,The position of the promotion on the web page or application screen (Enhanced Ecommerce).,,,,,,true
ga:isTrueViewVideoAd,analytics#column,,DIMENSION,STRING,Adwords,PUBLIC,TrueView Video Ad,,'Yes' or 'No' - Indicates whether the ad is an AdWords TrueView video ad.,,,,,,
ga:nthHour,analytics#column,,DIMENSION,STRING,Time,PUBLIC,Hour Index,,"Index for each hour in the specified date range. Index for the first hour of first day (i.e., start-date) in the date range is 0, 1 for the next hour, and so on.",,,,,,
ga:orderCouponCode,analytics#column,,DIMENSION,STRING,Ecommerce,PUBLIC,Order Coupon Code,,Code for the order-level coupon (Enhanced Ecommerce).,,,,,,true
ga:productBrand,analytics#column,,DIMENSION,STRING,Ecommerce,PUBLIC,Product Brand,,The brand name under which the product is sold (Enhanced Ecommerce).,,,,,,true
ga:productCategoryHierarchy,analytics#column,,DIMENSION,STRING,Ecommerce,PUBLIC,Product Category (Enhanced Ecommerce),,The hierarchical category in which the product is classified (Enhanced Ecommerce).,,,,,,true
ga:productCategoryLevelXX,analytics#column,,DIMENSION,STRING,Ecommerce,PUBLIC,Product Category Level XX,,"Level (1-5) in the product category hierarchy, starting from the top (Enhanced Ecommerce).",,1,5,,,true
ga:productCouponCode,analytics#column,,DIMENSION,STRING,Ecommerce,PUBLIC,Product Coupon Code,,Code for the product-level coupon (Enhanced Ecommerce).,,,,,,true
ga:productListName,analytics#column,,DIMENSION,STRING,Ecommerce,PUBLIC,Product List Name,,The name of the product list in which the product appears (Enhanced Ecommerce).,,,,,,true
ga:productListPosition,analytics#column,,DIMENSION,STRING,Ecommerce,PUBLIC,Product List Position,,The position of the product in the product list (Enhanced Ecommerce).,,,,,,true
ga:productVariant,analytics#column,,DIMENSION,STRING,Ecommerce,PUBLIC,Product Variant,,"The specific variation of a product, e.g., XS, S, M, L for size or Red, Blue, Green, Black for color (Enhanced Ecommerce).",,,,,,true
ga:queryProductId,analytics#column,,DIMENSION,STRING,Related Products,PUBLIC,Queried Product ID,,ID of the product being queried.,,,,,,
ga:queryProductName,analytics#column,,DIMENSION,STRING,Related Products,PUBLIC,Queried Product Name,,Name of the product being queried.,,,,,,
ga:queryProductVariation,analytics#column,,DIMENSION,STRING,Related Products,PUBLIC,Queried Product Variation,,Variation of the product being queried.,,,,,,
ga:relatedProductId,analytics#column,,DIMENSION,STRING,Related Products,PUBLIC,Related Product ID,,ID of the related product.,,,,,,
ga:relatedProductName,analytics#column,,DIMENSION,STRING,Related Products,PUBLIC,Related Product Name,,Name of the related product.,,,,,,
ga:relatedProductVariation,analytics#column,,DIMENSION,STRING,Related Products,PUBLIC,Related Product Variation,,Variation of the related product.,,,,,,
ga:shoppingStage,analytics#column,,DIMENSION,STRING,Ecommerce,PUBLIC,Shopping Stage,,"Various stages of the shopping experience that users completed in a session, e.g., PRODUCT_VIEW, ADD_TO_CART, CHECKOUT, etc. (Enhanced Ecommerce).",,,,,,true
ga:buyToDetailRate,analytics#column,,METRIC,PERCENT,Ecommerce,PUBLIC,Buy-to-Detail Rate,,Unique purchases divided by views of product detail pages (Enhanced Ecommerce).,,,,,,
ga:cartToDetailRate,analytics#column,,METRIC,PERCENT,Ecommerce,PUBLIC,Cart-to-Detail Rate,,Product adds divided by views of product details (Enhanced Ecommerce).,,,,,,
ga:correlationScore,analytics#column,,METRIC,CURRENCY,Related Products,PUBLIC,Correlation Score,,Correlation Score for related products.,,,,,,
ga:internalPromotionCTR,analytics#column,,METRIC,PERCENT,Ecommerce,PUBLIC,Internal Promotion CTR,,The rate at which users clicked through to view the internal promotion (ga:internalPromotionClicks / ga:internalPromotionViews) - (Enhanced Ecommerce).,ga:internalPromotionClicks / ga:internalPromotionViews,,,,,
ga:internalPromotionClicks,analytics#column,,METRIC,INTEGER,Ecommerce,PUBLIC,Internal Promotion Clicks,,The number of clicks on an internal promotion (Enhanced Ecommerce).,,,,,,true
ga:internalPromotionViews,analytics#column,,METRIC,INTEGER,Ecommerce,PUBLIC,Internal Promotion Views,,The number of views of an internal promotion (Enhanced Ecommerce).,,,,,,true
ga:localProductRefundAmount,analytics#column,,METRIC,CURRENCY,Ecommerce,PUBLIC,Local Product Refund Amount,,Refund amount for a given product in the local currency (Enhanced Ecommerce).,,,,,,true
ga:localRefundAmount,analytics#column,,METRIC,CURRENCY,Ecommerce,PUBLIC,Local Refund Amount,,Total refund amount for the transaction in the local currency (Enhanced Ecommerce).,,,,,,true
ga:productAddsToCart,analytics#column,,METRIC,INTEGER,Ecommerce,PUBLIC,Product Adds To Cart,,Number of times the product was added to the shopping cart (Enhanced Ecommerce).,,,,,,true
ga:productCheckouts,analytics#column,,METRIC,INTEGER,Ecommerce,PUBLIC,Product Checkouts,,Number of times the product was included in the check-out process (Enhanced Ecommerce).,,,,,,true
ga:productDetailViews,analytics#column,,METRIC,INTEGER,Ecommerce,PUBLIC,Product Detail Views,,Number of times users viewed the product-detail page (Enhanced Ecommerce).,,,,,,true
ga:productListCTR,analytics#column,,METRIC,PERCENT,Ecommerce,PUBLIC,Product List CTR,,The rate at which users clicked through on the product in a product list (ga:productListClicks / ga:productListViews) - (Enhanced Ecommerce).,ga:productListClicks / ga:productListViews,,,,,
ga:productListClicks,analytics#column,,METRIC,INTEGER,Ecommerce,PUBLIC,Product List Clicks,,Number of times users clicked the product when it appeared in the product list (Enhanced Ecommerce).,,,,,,true
ga:productListViews,analytics#column,,METRIC,INTEGER,Ecommerce,PUBLIC,Product List Views,,Number of times the product appeared in a product list (Enhanced Ecommerce).,,,,,,true
ga:productRefundAmount,analytics#column,,METRIC,CURRENCY,Ecommerce,PUBLIC,Product Refund Amount,,Total refund amount associated with the product (Enhanced Ecommerce).,,,,,,true
ga:productRefunds,analytics#column,,METRIC,INTEGER,Ecommerce,PUBLIC,Product Refunds,,Number of times a refund was issued for the product (Enhanced Ecommerce).,,,,,,true
ga:productRemovesFromCart,analytics#column,,METRIC,INTEGER,Ecommerce,PUBLIC,Product Removes From Cart,,Number of times the product was removed from shopping cart (Enhanced Ecommerce).,,,,,,true
ga:productRevenuePerPurchase,analytics#column,,METRIC,CURRENCY,Ecommerce,PUBLIC,Product Revenue per Purchase,,Average product revenue per purchase (commonly used with Product Coupon Code) (ga:itemRevenue / ga:uniquePurchases) - (Enhanced Ecommerce).,ga:itemRevenue / ga:uniquePurchases,,,,,
ga:quantityAddedToCart,analytics#column,,METRIC,INTEGER,Ecommerce,PUBLIC,Quantity Added To Cart,,Number of product units added to the shopping cart (Enhanced Ecommerce).,,,,,,true
ga:quantityCheckedOut,analytics#column,,METRIC,INTEGER,Ecommerce,PUBLIC,Quantity Checked Out,,Number of product units included in check out (Enhanced Ecommerce).,,,,,,true
ga:quantityRefunded,analytics#column,,METRIC,INTEGER,Ecommerce,PUBLIC,Quantity Refunded,,Number of product units refunded (Enhanced Ecommerce).,,,,,,true
ga:quantityRemovedFromCart,analytics#column,,METRIC,INTEGER,Ecommerce,PUBLIC,Quantity Removed From Cart,,Number of product units removed from cart (Enhanced Ecommerce).,,,,,,true
ga:queryProductQuantity,analytics#column,,METRIC,INTEGER,Related Products,PUBLIC,Queried Product Quantity,,Quantity of the product being queried.,,,,,,
ga:refundAmount,analytics#column,,METRIC,CURRENCY,Ecommerce,PUBLIC,Refund Amount,,Currency amount refunded for a transaction (Enhanced Ecommerce).,,,,,,true
ga:relatedProductQuantity,analytics#column,,METRIC,INTEGER,Related Products,PUBLIC,Related Product Quantity,,Quantity of the related product.,,,,,,
ga:totalRefunds,analytics#column,,METRIC,INTEGER,Ecommerce,PUBLIC,Refunds,,Number of refunds that have been issued (Enhanced Ecommerce).,,,,,,true
